target,repr,split,model,fold,n_test,r2,mae
M300_MPa,plain+polybert,patent,ridge,1,304,0.3553941562555041,2.8429512074700494
M300_MPa,plain+polybert,patent,ridge,2,303,0.20842484839090047,3.026791532150424
M300_MPa,plain+polybert,patent,ridge,3,303,0.27837497724853033,3.099399932955502
M300_MPa,plain+polybert,patent,ridge,4,303,0.12727155567856752,3.4904695548133797
M300_MPa,plain+polybert,patent,rf,0,304,0.3559332411654361,2.907371324717826
M300_MPa,plain+polybert,patent,rf,1,304,0.2533305803557079,3.2352012523651474
M300_MPa,plain+polybert,patent,rf,2,303,0.5158626151443795,2.3043612678316903
M300_MPa,plain+polybert,patent,rf,3,303,0.5203860663997726,2.483701723228767
M300_MPa,plain+polybert,patent,rf,4,303,0.3851463995194876,2.8262843707080743
M300_MPa,plain+polybert,patent,hgb,0,304,-0.03694386405872052,3.6307451428012434
M300_MPa,plain+polybert,patent,hgb,1,304,0.3231454119225253,2.9533367785107973
M300_MPa,plain+polybert,patent,hgb,2,303,0.4700198595467898,2.457737997533155
M300_MPa,plain+polybert,patent,hgb,3,303,0.47193561150031815,2.5574585233397378
M300_MPa,plain+polybert,patent,hgb,4,303,0.41321707890615156,2.722221921162765
M300_MPa,chem-min,random,ridge,0,304,0.3909246721871451,2.891101125461997
M300_MPa,chem-min,random,ridge,1,304,0.4602383674485937,2.926261036530114
M300_MPa,chem-min,random,ridge,2,303,0.37776097584571466,2.8769556574924517
M300_MPa,chem-min,random,ridge,3,303,0.423103733297561,2.8441465686494536
M300_MPa,chem-min,random,ridge,4,303,0.30037681129385063,3.0266121343325767
M300_MPa,chem-min,random,rf,0,304,0.8818747817921458,1.0961251953466828
M300_MPa,chem-min,random,rf,1,304,0.8485423542152244,1.281585102240257
M300_MPa,chem-min,random,rf,2,303,0.8176417491357441,1.2739423347763967
M300_MPa,chem-min,random,rf,3,303,0.8513603567190028,1.1913788569008015
M300_MPa,chem-min,random,rf,4,303,0.8647061824059228,1.105638922973959
M300_MPa,chem-min,random,hgb,0,304,0.8805337420412642,1.0575451561172964
M300_MPa,chem-min,random,hgb,1,304,0.8555630847437017,1.1872311635505097
M300_MPa,chem-min,random,hgb,2,303,0.8245437517844705,1.2185672204615643
M300_MPa,chem-min,random,hgb,3,303,0.8511500062435423,1.1703210586982236
M300_MPa,chem-min,random,hgb,4,303,0.8546149935653571,1.038752586072261
M300_MPa,chem-min,patent,ridge,0,304,0.3339197684906545,2.9795822601812
